3mm_time	1.06700	121.08336633	1662649907
bicg_time	1.00700	0.00724900	1662649907
colormap_time	1.20800	0.38124233	1662649936
conjgrad_time	0.40800	0.01460633	1662649936
cp50_time	0.47900	0.01958500	1662649937
deriche_time	0.52200	1.17741533	1662649944
fdtd-2d_time	0.24200	7.78600066	1662649984
gemm_time	0.08600	3.37756000	1662650002
gesummv_time	0.68000	0.01365800	1662650003
mvt_time	0.02700	0.25485233	1662650005
remap_time	0.09800	0.03804033	1662650006
tblshft_time	0.14300	0.04494566	1662650006
