3mm_time	0.99800	118.69650166	1662648411
bicg_time	0.50900	0.01518933	1662648412
colormap_time	0.17400	0.66139733	1662648447
conjgrad_time	0.26900	0.03253266	1662648447
cp50_time	0.82500	0.02048200	1662648448
deriche_time	0.21400	1.18871566	1662648455
fdtd-2d_time	1.27700	9.55833366	1662648503
gemm_time	0.08900	4.90852333	1662648529
gesummv_time	1.66800	0.02905133	1662648530
mvt_time	1.18700	0.25129233	1662648532
remap_time	0.20800	0.06745266	1662648532
tblshft_time	0.50300	0.04339566	1662648533
