3mm_time	0.04200	20.12694700	1662646253
bicg_time	0.75300	0.02017500	1662646254
colormap_time	3.09400	0.08461533	1662646257
conjgrad_time	0.09900	0.03312200	1662646258
cp50_time	0.27200	0.00769300	1662646258
deriche_time	0.70300	0.31204966	1662646260
fdtd-2d_time	0.11600	4.69539533	1662646284
gemm_time	0.02700	2.62326666	1662646298
gesummv_time	0.63300	0.00894033	1662646298
mvt_time	0.57300	0.05626566	1662646299
remap_time	0.03000	0.19825933	1662646300
tblshft_time	0.39600	0.01926966	1662646301
