3mm_time	0.18800	119.27546066	1662649154
bicg_time	0.33400	0.00638333	1662649154
colormap_time	0.37400	0.66139200	1662649187
conjgrad_time	0.76200	0.01910666	1662649188
cp50_time	0.25000	0.02008966	1662649188
deriche_time	0.60300	1.18403000	1662649195
fdtd-2d_time	0.08300	9.86153300	1662649245
gemm_time	0.04500	4.92646900	1662649270
gesummv_time	0.58200	0.01385066	1662649271
mvt_time	0.82700	0.25298300	1662649273
remap_time	0.26900	0.06110533	1662649274
tblshft_time	0.13500	0.04573600	1662649275
